@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB1"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720814
@ CHARGE           %le                   1
@ ENERGY           %le                 450
@ PC               %le         449.9990218
@ GAMMA            %le         479.6050196
@ KBUNCH           %le                   1
@ BCURRENT         %le     0.0002071977779
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le            1.15e+11
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ LENGTH           %le          26658.8832
@ ALFA             %le      0.000348297695
@ ORBIT5           %le                  -0
@ GAMMATR          %le          53.5827131
@ Q1               %le               62.31
@ Q2               %le               60.32
@ DQ1              %le         2.000004327
@ DQ2              %le         2.000004326
@ DXMAX            %le         2.861364348
@ DYMAX            %le                  -0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         6010.066269
@ BETYMAX          %le          6010.06627
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         1.499110361
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %22s "Model creator for java"
@ ORIGIN           %16s "5.03.07 Linux 64"
@ DATE             %08s "14/02/18"
@ TIME             %08s "18.57.29"
* NAME                                S                  L KEYWORD            PARENT                            K1L 
$ %s                                %le                %le %s                 %s                                %le 
 "MSIA.EXIT.B1"                       0                  0 "MARKER"            "OMK"                                0
 "BTVSS.6L2.B1"                   1.125               0.75 "INSTRUMENT"        "BTVSS075"                           0
 "MQY.B5L2.B1"                   23.513                3.4 "QUADRUPOLE"        "MQY"                    0.01454167337
 "MQY.A5L2.B1"                   27.294                3.4 "QUADRUPOLE"        "MQY"                    0.01454167337
 "BPMYB.5L2.B1"                  28.288                  0 "MONITOR"           "BPMYB"                              0
 "BTVSI.C5L2.B1"                 29.904                0.5 "INSTRUMENT"        "BTVSI088"                           0
 "MKI.D5L2.B1"                   32.627                  0 "TKICKER"           "MKIMA192"                           0
 "MKI.C5L2.B1"                   36.591                  0 "TKICKER"           "MKIMA192"                           0
 "MKI.B5L2.B1"                   40.555                  0 "TKICKER"           "MKIMA192"                           0
 "MKI.A5L2.B1"                   44.519                  0 "TKICKER"           "MKIMA192"                           0
 "BPTX.5L2.B1"                  46.7615                  0 "INSTRUMENT"        "BPTX"                               0
 "BTVSI.A5L2.B1"                 47.742                0.5 "INSTRUMENT"        "BTVSI088"                           0
 "BPMYB.4L2.B1"                  48.858                  0 "MONITOR"           "BPMYB"                              0
 "LHCINJ.B1"                     49.852                  0 "MARKER"            "OMK"                                0
 "MQY.B4L2.B1"                   53.252                3.4 "QUADRUPOLE"        "MQY"                   -0.01190015842
 "MQY.A4L2.B1"                   57.033                3.4 "QUADRUPOLE"        "MQY"                   -0.01190015842
 "MBRC.4L2.B1"              71.24500046        9.450000925 "RBEND"             "MBRC"                               0
 "BPMWI.4L2.B1"                 73.3255                  0 "MONITOR"           "BPMWI"                              0
 "BPTUH.A4L2.B1"                 73.795                  0 "MONITOR"           "BPTUH"                              0
 "BPTDH.A4L2.B1"                 74.985                  0 "MONITOR"           "BPTDH"                              0
 "BPTUV.A4L2.B1"                 75.795                  0 "MONITOR"           "BPTUV"                              0
 "BPTDV.A4L2.B1"                 76.985                  0 "MONITOR"           "BPTDV"                              0
 "X2ZDC.4L2"                    80.3485                1.5 "INSTRUMENT"        "X2ZDC001"                           0
 "BRANB.4L2"                    81.4126                  0 "INSTRUMENT"        "BRANB"                              0
 "BTVST.A4L2"                    107.49                  0 "INSTRUMENT"        "BTVST065"                           0
 "BPMSX.4L2.B1"                123.4825                  0 "MONITOR"           "BPMSX001"                           0
 "MBX.4L2"                  134.5400005        9.450000925 "RBEND"             "MBX"                                0
 "MQXA.3L2"                     145.958               6.37 "QUADRUPOLE"        "MQXA"                   0.05592768999
 "MQSX.3L2"                    146.4265              0.223 "QUADRUPOLE"        "MQSX"                               0
 "MQXB.B2L2"                    154.373                5.5 "QUADRUPOLE"        "MQXB"                  -0.04828921428
 "MQXB.A2L2"                    160.873                5.5 "QUADRUPOLE"        "MQXB"                  -0.04828921428
 "BPMS.2L2.B1"                  161.394                  0 "MONITOR"           "BPMS"                               0
 "MQXA.1L2"                     169.958               6.37 "QUADRUPOLE"        "MQXA"                   0.05592768999
 "BPMSW.1L2.B1"                 171.328                  0 "MONITOR"           "BPMSW002"                           0
 "BPMSW.1L2.B1_DOROS"             171.328                  0 "MONITOR"           "BPMSW002"                           0
 "IP2"                          192.923                  0 "MARKER"            "OMK"                                0
 "BPMSW.1R2.B1"                 214.518                  0 "MONITOR"           "BPMSW002"                           0
 "BPMSW.1R2.B1_DOROS"             214.518                  0 "MONITOR"           "BPMSW002"                           0
 "MQXA.1R2"                     222.258               6.37 "QUADRUPOLE"        "MQXA"                  -0.05592768999
 "BPMS.2R2.B1"                  224.452                  0 "MONITOR"           "BPMS"                               0
 "MQXB.A2R2"                    230.473                5.5 "QUADRUPOLE"        "MQXB"                   0.04828921428
 "MQXB.B2R2"                    236.973                5.5 "QUADRUPOLE"        "MQXB"                   0.04828921428
 "MQSX.3R2"                    239.6425              0.223 "QUADRUPOLE"        "MQSX"                               0
 "MQXA.3R2"                     246.258               6.37 "QUADRUPOLE"        "MQXA"                  -0.05592768999
 "MBX.4R2"                  260.7560005        9.450000925 "RBEND"             "MBX"                                0
 "BPMSX.4R2.B1"                262.3635                  0 "MONITOR"           "BPMSX001"                           0
 "BRANB.4R2"                    304.532                  0 "INSTRUMENT"        "BRANB"                              0
 "X2ZDC.4R2"                   306.9975                1.5 "INSTRUMENT"        "X2ZDC002"                           0
 "BPMWB.4R2.B1"                312.5965                  0 "MONITOR"           "BPMWB"                              0
 "MBRC.4R2.B1"              324.0510005        9.450000925 "RBEND"             "MBRC"                               0
 "MQY.A4R2.B1"                  332.213                3.4 "QUADRUPOLE"        "MQY"                    0.01190015842
 "MQY.B4R2.B1"                  335.994                3.4 "QUADRUPOLE"        "MQY"                    0.01190015842
 "BPMYB.4R2.B1"                 336.988                  0 "MONITOR"           "BPMYB"                              0
 "MQM.A5R2.B1"                  361.952                3.4 "QUADRUPOLE"        "MQM"                   -0.01454167337
 "MQM.B5R2.B1"                  365.733                3.4 "QUADRUPOLE"        "MQM"                   -0.01454167337
 "BPMR.5R2.B1"                  366.522                  0 "MONITOR"           "BPMR"                               0
 "MQML.6R2.B1"                  435.304                4.8 "QUADRUPOLE"        "MQML"                   0.02050488801
 "MQM.6R2.B1"                   439.071                3.4 "QUADRUPOLE"        "MQM"                    0.01452429567
 "BPM.6R2.B1"                   439.818                  0 "MONITOR"           "BPM"                                0
 "BPM_A.7R2.B1"                 452.693                  0 "MONITOR"           "BPM_A"                              0
 "MQM.A7R2.B1"                  456.838                3.4 "QUADRUPOLE"        "MQM"                   -0.02182436231
 "MQM.B7R2.B1"                  460.605                3.4 "QUADRUPOLE"        "MQM"                   -0.02182436231
 "S.DS.R2.B1"                   462.338                  0 "MARKER"            "OMK"                                0
 "BPM.8R2.B1"               494.1300106                  0 "MONITOR"           "BPM"                                0
 "MQML.8R2.B1"              499.6750106                4.8 "QUADRUPOLE"        "MQML"                   0.03189939922
 "BPM.9R2.B1"               533.1950212                  0 "MONITOR"           "BPM"                                0
 "MQMC.9R2.B1"              536.3710212                2.4 "QUADRUPOLE"        "MQMC"                  -0.01455956709
 "MQM.9R2.B1"               540.1370212                3.4 "QUADRUPOLE"        "MQM"                   -0.02062605338
 "BPM.10R2.B1"              573.6580318                  0 "MONITOR"           "BPM"                                0
 "MQML.10R2.B1"             579.2030318                4.8 "QUADRUPOLE"        "MQML"                   0.03525980367
 "BPM.11R2.B1"              625.4967424                  0 "MONITOR"           "BPM"                                0
 "MQ.11R2.B1"               629.5937424                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
 "MQTLI.11R2.B1"            631.0627424                1.3 "QUADRUPOLE"        "MQTLI"                -0.003384358233
 "S.ARC.23.B1"              632.7687424                  0 "MARKER"            "OMK"                                0
