@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %04s "RING"
@ PARTICLE         %08s "POSITRON"
@ MASS             %le      0.000510998928
@ CHARGE           %le                   1
@ ENERGY           %le                   6
@ PC               %le         5.999999978
@ GAMMA            %le         11741.70761
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ LENGTH           %le         2303.952493
@ ALFA             %le      0.001114296425
@ ORBIT5           %le     -0.006017948859
@ GAMMATR          %le          29.9570905
@ Q1               %le         37.12461804
@ Q2               %le         30.27566223
@ DQ1              %le       -0.2120981648
@ DQ2              %le       0.05378600321
@ DXMAX            %le        0.8325685252
@ DYMAX            %le      1.09818512e-18
@ XCOMAX           %le     0.0001035638659
@ YCOMAX           %le     3.330694683e-20
@ BETXMAX          %le         43.99294136
@ BETYMAX          %le          43.0555466
@ XCORMS           %le     2.732519699e-05
@ YCORMS           %le     1.158919948e-20
@ DXRMS            %le        0.3570294274
@ DYRMS            %le     4.327647642e-19
@ DELTAP           %le                   0
@ SYNCH_1          %le         2.597823394
@ SYNCH_2          %le       0.06908178623
@ SYNCH_3          %le       0.00175823878
@ SYNCH_4          %le    -7.203611504e-06
@ SYNCH_5          %le     6.654917665e-06
@ TITLE            %08s "no-title"
@ ORIGIN           %16s "5.02.12 Linux 64"
@ DATE             %08s "21/06/19"
@ TIME             %08s "12.45.34"
* NAME                                S               BETX               BETY                MUX                MUY KEYWORD            
$ %s                                %le                %le                %le                %le                %le %s                 
 "RING$START"                         0        9.620289493        30.54818527                  0                  0 "MARKER"           
 "Q0K2"                          0.5213        9.858131835        29.90741687     0.008553813856     0.002734981932 "QUADRUPOLE"       
 "DRIFT_0"                       7.6787        22.72758609        16.64832222      0.08789787432      0.05470069391 "DRIFT"            
 "Q1K"                           8.7213        22.58111109        17.58049513      0.09506677772      0.06461729927 "QUADRUPOLE"       
 "DRIFT_1"                       8.8333        22.25292505        17.93224136      0.09586192153       0.0656211754 "DRIFT"            
 "PCH_SWR_9"                     9.2267        21.12807898        19.20655799      0.09874945273      0.06899495637 "HKICKER"          
 "DRIFT_2"                      12.8033        12.89454452         33.5635056       0.1335100882      0.09148812935 "DRIFT"            
 "PCV_SWR_13"                   13.1967        12.20813272        35.44750871       0.1385008859      0.09330326596 "VKICKER"          
 "DRIFT_3"                         13.3        12.03509477        35.95223006       0.1398571625        0.093763774 "DRIFT"            
 "BPM_SWR_13"                      13.3        12.03509477        35.95223006       0.1398571625        0.093763774 "MONITOR"          
 "DRIFT_4"                      13.3787        11.90527476        36.33955214       0.1409035088      0.09411028293 "DRIFT"            
 "Q2K"                          14.4213        11.83143045        36.69765992       0.1552103476       0.0985559543 "QUADRUPOLE"       
 "DRIFT_5"                       15.021         12.7726988        34.18553069       0.1629770835         0.10125063 "DRIFT"            
 "COLL1"                         15.021         12.7726988        34.18553069       0.1629770835         0.10125063 "RCOLLIMATOR"      
 "DRIFT_6"                       19.117         21.7302096        19.95191494       0.2025095351       0.1263137443 "DRIFT"            
 "SCRAPER"                       19.117         21.7302096        19.95191494       0.2025095351       0.1263137443 "RCOLLIMATOR"      
 "DRIFT_7"                      23.4767        36.11082393        10.40709311       0.2273790216       0.1752297253 "DRIFT"            
 "Q4K"                          24.5193        35.55723888        10.22806746       0.2319127603       0.1916838093 "QUADRUPOLE"       
 "DRIFT_8"                       24.752        34.43035372        10.50710428       0.2329711775       0.1952564275 "DRIFT"            
 "DKA"                           27.441        22.95515374        14.75704942        0.248215992       0.2298962676 "SBEND"            
 "PKDK_SWR_27"                   27.441        22.95515374        14.75704942        0.248215992       0.2298962676 "HKICKER"          
 "DKB"                            30.13        14.30645223        20.90213486       0.2719171246       0.2543586786 "SBEND"            
 "DRIFT_9"                      30.4982        13.34341033        21.88993402       0.2761587085        0.257098233 "DRIFT"            
 "PCVM_SWR_31"                  30.8158        12.55543314         22.7704861       0.2800641223       0.2593622466 "VKICKER"          
